measure,location,sampleDate,unit,value,id
Biochemical Oxygen,Achara,12-Feb-16,mg/l,2.2,10715
Biochemical Oxygen,Achara,12-Jun-09,mg/l,2.2,9679
Biochemical Oxygen,Achara,12-Mar-16,mg/l,1.6,10731
Biochemical Oxygen,Achara,13-Aug-09,mg/l,2.3,9704
Biochemical Oxygen,Achara,13-Dec-13,mg/l,1.9,10341
Biochemical Oxygen,Achara,13-Feb-09,mg/l,3,9631
Biochemical Oxygen,Achara,13-Mar-15,mg/l,2.2,10554
Biochemical Oxygen,Achara,13-May-11,mg/l,4.2,9930
Biochemical Oxygen,Achara,13-May-16,mg/l,1.8,10755
Biochemical Oxygen,Achara,13-Oct-11,mg/l,1.7,9995
Biochemical Oxygen,Achara,14-Jul-11,mg/l,4.2,9957
Biochemical Oxygen,Achara,14-Jun-13,mg/l,1,10255
Biochemical Oxygen,Achara,14-Mar-13,mg/l,2.4,10219
Biochemical Oxygen,Achara,14-Sep-11,mg/l,2,9983
Biochemical Oxygen,Achara,15-Dec-11,mg/l,2.2,10024
Biochemical Oxygen,Achara,15-Feb-13,mg/l,2.2,10208
Biochemical Oxygen,Achara,15-Feb-14,mg/l,4,10360
Biochemical Oxygen,Achara,15-Jan-09,mg/l,2.3,9622
Biochemical Oxygen,Achara,15-Jan-16,mg/l,2.4,10702
Biochemical Oxygen,Achara,15-Mar-12,mg/l,3.6,10054
Biochemical Oxygen,Achara,15-May-15,mg/l,2.2,10585
Biochemical Oxygen,Achara,15-Nov-13,mg/l,2,10325
Biochemical Oxygen,Achara,16-Apr-10,mg/l,1.8,9793
Biochemical Oxygen,Achara,16-Apr-11,mg/l,5.8,9924
Biochemical Oxygen,Achara,16-Apr-16,mg/l,2.8,10748
Biochemical Oxygen,Achara,16-Aug-13,mg/l,1.7,10287
Biochemical Oxygen,Achara,16-Aug-14,mg/l,2.5,10442
Biochemical Oxygen,Achara,16-Jan-10,mg/l,2,9759
Biochemical Oxygen,Achara,16-Jan-14,mg/l,2.3,10351
Biochemical Oxygen,Achara,16-Jul-10,mg/l,2,9825
Biochemical Oxygen,Achara,16-Jul-15,mg/l,1.6,10614
Biochemical Oxygen,Achara,16-Jul-16,mg/l,1.2,10789
Biochemical Oxygen,Achara,16-Jun-12,mg/l,3.4,10099
Biochemical Oxygen,Achara,16-May-13,mg/l,2.3,10245
Biochemical Oxygen,Achara,16-May-14,mg/l,2.1,10403
Biochemical Oxygen,Achara,16-Nov-12,mg/l,2.1,10170
Biochemical Oxygen,Achara,16-Oct-15,mg/l,1.3,10658
Biochemical Oxygen,Achara,16-Sep-16,mg/l,0.5,10820
Biochemical Oxygen,Achara,17-Apr-09,mg/l,2,9654
Biochemical Oxygen,Achara,17-Feb-12,mg/l,3.4,10045
Biochemical Oxygen,Achara,17-Jan-13,mg/l,3.3,10197
Biochemical Oxygen,Achara,17-Jan-15,mg/l,2.3,10531
Biochemical Oxygen,Achara,17-Jun-10,mg/l,2.9,9816
Biochemical Oxygen,Achara,17-Jun-11,mg/l,5.5,9945
Biochemical Oxygen,Achara,17-Mar-12,mg/l,2.1,10059
Biochemical Oxygen,Achara,17-May-09,mg/l,2.4,9670
Biochemical Oxygen,Achara,17-Oct-14,mg/l,0.5,10480
Biochemical Oxygen,Achara,17-Sep-10,mg/l,2,9847
Biochemical Oxygen,Achara,18-Apr-14,mg/l,1.3,10390
Biochemical Oxygen,Achara,18-Apr-15,mg/l,1.4,10574
Biochemical Oxygen,Achara,18-Feb-11,mg/l,4.9,9900
Biochemical Oxygen,Achara,18-Jul-13,mg/l,2.6,10273
Biochemical Oxygen,Achara,18-Jul-14,mg/l,1.6,10432
Biochemical Oxygen,Achara,18-Mar-11,mg/l,3.4,9911
Biochemical Oxygen,Achara,18-Oct-12,mg/l,1.7,10151
Biochemical Oxygen,Achara,18-Oct-13,mg/l,1,10309
Biochemical Oxygen,Achara,18-Sep-15,mg/l,1.3,10642
Biochemical Oxygen,Achara,19-Mar-09,mg/l,1.7,9647
Biochemical Oxygen,Achara,19-Mar-10,mg/l,2.1,9784
Biochemical Oxygen,Achara,19-Mar-14,mg/l,3.8,10373
Biochemical Oxygen,Achara,19-May-12,mg/l,1.8,10086
Biochemical Oxygen,Achara,19-Nov-09,mg/l,2.7,9742
Biochemical Oxygen,Achara,19-Nov-10,mg/l,1.9,9867
Biochemical Oxygen,Achara,19-Nov-16,mg/l,0.5,10852
Biochemical Oxygen,Achara,19-Sep-14,mg/l,1.2,10468
Biochemical Oxygen,Achara,20-Aug-16,mg/l,0.5,10809
Biochemical Oxygen,Achara,20-Feb-10,mg/l,1,9776
Biochemical Oxygen,Achara,20-Jan-12,mg/l,1.6,10031
Biochemical Oxygen,Achara,20-Jun-14,mg/l,3,10419
Biochemical Oxygen,Achara,20-Jun-15,mg/l,2.5,10605
Biochemical Oxygen,Achara,20-May-10,mg/l,2.4,9807
Biochemical Oxygen,Achara,20-Nov-15,mg/l,1.1,10677
Biochemical Oxygen,Achara,21-Apr-12,mg/l,3.4,10072
Biochemical Oxygen,Achara,21-Feb-15,mg/l,3.1,10547
Biochemical Oxygen,Achara,21-Jan-11,mg/l,3.6,9889
Biochemical Oxygen,Achara,21-Jan-12,mg/l,1.5,10032
Biochemical Oxygen,Achara,21-Nov-14,mg/l,1,10502
Biochemical Oxygen,Achara,21-Oct-12,mg/l,2.6,10153
Biochemical Oxygen,Achara,21-Sep-12,mg/l,2,10139
Biochemical Oxygen,Achara,21-Sep-13,mg/l,2.1,10299
Biochemical Oxygen,Achara,22-Apr-11,mg/l,1.9,9925
Biochemical Oxygen,Achara,22-Aug-15,mg/l,1.5,10634
Biochemical Oxygen,Achara,22-Jan-11,mg/l,2.7,9890
Biochemical Oxygen,Achara,22-Nov-12,mg/l,2.7,10175
Biochemical Oxygen,Achara,22-Oct-10,mg/l,2.8,9858
Biochemical Oxygen,Achara,22-Oct-16,mg/l,0.5,10841
Biochemical Oxygen,Achara,26-Aug-12,mg/l,1.5,10131
Biochemical Oxygen,Achara,26-Nov-11,mg/l,1.4,10013
Biochemical Oxygen,Achara,27-May-11,mg/l,4.4,9941
Biochemical Oxygen,Achara,27-May-12,mg/l,1.9,10092
Biochemical Oxygen,Achara,27-Sep-12,mg/l,1.4,10142
Biochemical Oxygen,Achara,28-Jun-12,mg/l,1.4,10104
Biochemical Oxygen,Achara,28-Sep-11,mg/l,1.7,9988
Biochemical Oxygen,Achara,29-Apr-12,mg/l,1.9,10079
Biochemical Oxygen,Achara,31-Mar-11,mg/l,3,9917
Biochemical Oxygen,Achara,4-Aug-11,mg/l,4.4,9967
Biochemical Oxygen,Achara,7-Dec-12,mg/l,2,10179
Biochemical Oxygen,Achara,8-Jul-12,mg/l,1.8,10107
Biochemical Oxygen,Achara,8-Oct-11,mg/l,5.9,9992
Biochemical Oxygen,Achara,9-Dec-15,mg/l,2.4,10688
Biochemical Oxygen,Achara,9-Jul-11,mg/l,1.6,9955
Cadmium,Achara,10-Dec-11,ug/l,0,12058
Cadmium,Achara,10-Dec-12,ug/l,0.25,12114
Cadmium,Achara,11-Aug-11,ug/l,0,12021
Cadmium,Achara,11-Dec-10,ug/l,0.25,11945
Cadmium,Achara,11-Feb-11,ug/l,0.5,11962
Cadmium,Achara,11-Jul-09,ug/l,0.3,11817
Cadmium,Achara,11-Jun-11,ug/l,0,12000
Cadmium,Achara,11-Jun-16,ug/l,0,12283
Cadmium,Achara,11-Nov-11,ug/l,0,12044
Cadmium,Achara,11-Oct-09,ug/l,0.3,11834
Cadmium,Achara,12-Apr-13,ug/l,0,12130
Cadmium,Achara,12-Aug-10,ug/l,0.25,11909
Cadmium,Achara,12-Jun-09,ug/l,0.3,11810
Cadmium,Achara,13-Dec-13,ug/l,0,12164
Cadmium,Achara,13-Feb-09,ug/l,0.3,11795
Cadmium,Achara,13-May-11,ug/l,0,11992
Cadmium,Achara,13-Oct-11,ug/l,0,12036
Cadmium,Achara,14-Jul-11,ug/l,0,12012
Cadmium,Achara,14-Jun-13,ug/l,0,12138
Cadmium,Achara,14-Mar-13,ug/l,0,12126
Cadmium,Achara,14-Sep-11,ug/l,0,12028
Cadmium,Achara,15-Feb-13,ug/l,0,12122
Cadmium,Achara,15-Jan-09,ug/l,0.3,11793
Cadmium,Achara,15-Jan-16,ug/l,0,12258
Cadmium,Achara,15-Nov-13,ug/l,0,12159
Cadmium,Achara,16-Apr-10,ug/l,0.25,11875
Cadmium,Achara,16-Apr-11,ug/l,0.5,11987
Cadmium,Achara,16-Aug-12,ug/l,0.25,12099
Cadmium,Achara,16-Aug-13,ug/l,0,12147
Cadmium,Achara,16-Jan-10,ug/l,0.4,11851
Cadmium,Achara,16-Jul-10,ug/l,0.25,11900
Cadmium,Achara,16-Jun-12,ug/l,0.25,12091
Cadmium,Achara,16-May-13,ug/l,0,12134
Cadmium,Achara,16-Nov-12,ug/l,0.25,12110
Cadmium,Achara,16-Oct-15,ug/l,0,12251
Cadmium,Achara,17-Apr-09,ug/l,0.3,11799
Cadmium,Achara,17-Feb-12,ug/l,0.25,12074
Cadmium,Achara,17-Jan-13,ug/l,0,12119
Cadmium,Achara,17-Jun-10,ug/l,0.25,11892
Cadmium,Achara,17-Jun-11,ug/l,0,12002
Cadmium,Achara,17-Mar-12,ug/l,0.25,12079
Cadmium,Achara,17-Sep-10,ug/l,0.25,11920
Cadmium,Achara,18-Feb-11,ug/l,0.5,11966
Cadmium,Achara,18-Jul-13,ug/l,0,12143
Cadmium,Achara,18-Mar-11,ug/l,0.5,11974
Cadmium,Achara,18-Oct-13,ug/l,0,12156
Cadmium,Achara,19-Mar-09,ug/l,0.3,11798
Cadmium,Achara,19-Mar-10,ug/l,0.25,11868
Cadmium,Achara,19-May-12,ug/l,0.25,12087
Cadmium,Achara,19-Nov-09,ug/l,0.3,11843
Cadmium,Achara,19-Nov-10,ug/l,0.25,11939
