location,sample date,"1,2,3-Trichlorobenzene","1,2,4-Trichlorobenzene",Acenaphthene,Acenaphthylene,AGOC-3A,Alachlor,Aldrin,alpha-Hexachlorocyclohexane,Aluminium,Ammonium,Anionic active surfactants,Anthracene,AOX,Arsenic,Atrazine,Barium,Benzo(a)anthracene,Benzo(a)pyrene,Benzo(b)fluoranthene,"Benzo(g,h,i)perylene",Benzo(k)fluoranthene,Berilium,beta-Hexaxchlorocyclohexane,Bicarbonates,Biochemical Oxygen,Boron,Cadmium,Calcium,Carbonates,Cesium,Chemical Oxygen Demand (Cr),Chemical Oxygen Demand (Mn),Chlorides,Chlorodinine,Chromium,Chrysene,Copper,Cyanides,Dieldrin,Dissolved organic carbon,Dissolved oxygen,Dissolved silicates,Endosulfan (alpha),Endosulfan (beta),Endrin,Fecal coliforms,Fecal streptococci,Fluoranthene,Fluorene,gamma-Hexachlorocyclohexane,Heptachlor,Heptachloroepoxide,Hexachlorobenzene,"Indeno(1,2,3-c,d)pyrene",Inorganic nitrogen,Iron,Isodrin,Lead,Macrozoobenthos,Magnesium,Manganese,Mercury,Methoxychlor,Methylosmoline,Metolachlor,Naphthalene,Nickel,Nitrates,Nitrites,Organic nitrogen,Orthophosphate-phosphorus,Oxygen saturation,"p,p-DDD","p,p-DDE","p,p-DDT",PAHs,PCB 101,PCB 118,PCB 138,PCB 153,PCB 180,PCB 28,PCB 52,Pentachlorobenzene,Petroleum hydrocarbons,Phenanthrene,Potassium,Pyrene,Selenium,Silica (SiO2),Simazine,Sodium,Sulfides,Sulphates,Tetrachloromethane,Total coliforms,Total dissolved phosphorus,Total dissolved salts,Total extractable matter,Total hardness,Total nitrogen,Total organic carbon,Total phosphorus,Trifluralin,Water temperature,Zinc,ID
Achara,11-Jul-09,,,,,,,,,,0.039,0.034,,,1.4,,,,,,,,,,109.8,2.4,,0.3,,,,8,0,,,0.6,,9.9,0.0025,,,7.1,,,,,,,,,,,,,,,0.19,,1.6,,,0.11,,,,,,1.8,0.255,0.046,0.5895,0.127,,,,,,,,,,,,,,0.018,,,,,,,,,,,,,174,,,0.9,,0.17,,22,20,25
Achara,11-Jun-11,,,,,,,,,,0.076,,,,1.3,,,,,,,,,,,4.3,,0,33.8,,,8,2.9,,,0,,1.9,,,,7.1,8.97,,,,,,,,,,,,,,,,0.3,,8.1,,0,,,,,0,1.49,0.005,0,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15,,0.105,,23,10,26
Achara,11-Jun-16,,,,,,,,,,0.05,0,,,,0,,,,,,,,,115.9,2.6,,0,35.6,,,5,3.8,11.6,,,,,,,,10.2,1.8,,,,,,,,0,,,,,,,,,,6.9,,0,,,,,,0.97,0.027,,0.037,125,,,0,,,,,,,,,,0,,2.6,,,,,8.7,,20.9,,,,158,,117,1.29,,0.043,,26,,27
Achara,11-Nov-11,,,,,,,,,,0.279,,,,0,,,,,,,,,,,3,,0,41.1,,,0,2.2,9.9,,0,,1.7,,,,9.8,,,,,,,,,,,,,,,,,0.5,,4.4,,0,,,,,0,1.13,0.065,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,,0.094,,12,3,28
Achara,11-Oct-09,,,,,,,,,,0.031,0.034,,,1,,,,,,,,,,97.6,1.2,,0.3,,,,6,0,,,0.6,,2.8,,,,9.2,6.98,,,,,,,,,,,,,,0.17,,0.5,,,0.06,,,,,,1.2,1.695,0.027,0.4025,0.1173,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,184,,,2.14,,0.16,,17,5,29
Achara,12-Apr-13,,,,,,,,,,0.036,,,,0,0,,,,,,,,,,2.1,,0,41.1,,,0,2.5,10.1,,0,,1.9,,,,11.7,,,,,,,,,0,,,,,,,,0.5,,6.7,,0,,,,,0,0.89,0.014,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,,0.024,,11.5,5,30
Achara,12-Aug-10,,,,,,,,,,0.163,,,,1.8,,,,,,,,,,,2.3,,0.25,40.4,,,7.2,6,10.3,,0.6,,3.5,,,,8.1,8.006,,,,,,,,,,,,,2.035,,,1.4,,4.6,,1,,,,,1.1,1.82608,0.0456,0.77,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,0.32,,23,12,31
Achara,12-Dec-14,,,,,,,,,,0.216,,,,,0,,,,,,,,,146.4,2.3,,,49.5,,,16,2.7,22.1,,,,,,,,11.8,3.1,,,,,,,,0,,,,,,,,,,9.2,0.03,0,,,,,,1.56,0.021,,0.02,83,,,0,,,,,,,,,,,,4.2,,,,,19.5,,47,,,,254,,161.3,1.99,2.22,0.029,,1,,32
Achara,12-Feb-16,,,,,,,,,,0.06,0,,,,0,,,,,,,,,122,2.2,,,35.5,,,5,,10.6,,,,,,,,10.9,2,,,,,,,,0,,,,,,,,,,6.8,,0,,,,,,0.94,0.01,,0.012,90,,,0,,,,,,,,,,0,,2.3,,,,,8.3,,21.9,,,,160,,116.8,1.19,,0.022,,7,,33
Achara,12-Jun-09,,,,,,,,,,0.016,0.034,,,0.5,,,,,,,,,,122,2.2,,0.3,,,,7,3.7,,,0,,2.9,0.0025,,,9,,,,,,,,,,,,,,,0.24,,0.5,,,0.9,,,,,,1,1.106,0.033,0.163,0.1142,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,201,,,1.26,,0.2,,26,12,34
Achara,12-Mar-16,,,,,,,,,,0.04,,,,,0,,,,,,,,,,1.6,,,35.6,,,5,2.26,11.8,,,,,,,,11.3,1.4,,,,,,,,0,,,,,,,,,,6.9,,0,,,,,,1.08,0.012,,0.011,100,,,0,,,,,,,,,,0,,,,,,,,,,,,,163,,117.2,1.18,,0.029,,10,,35
Achara,13-Aug-09,,,,,,,,,,0.093,,,,,,,,,,,,,,115.9,2.3,,,,,,8,4,,,,,,0.0025,,,6.4,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,1.975,0.055,0.5635,0.153,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,188,,,2.64,,0.2,,21,38,36
Achara,13-Dec-13,,,,,,,,,,0.421,,,,0,,,,,,,,,,,1.9,,0,49.9,,,0,2,15.6,,0,,1.4,,,,9.9,,,,,,,,,0,,,,,,,,0.5,,8.6,,0,,,,,0,1.29,0.051,,0.029,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,0.054,,8,5,37
Achara,13-Feb-09,,,,,,,,,,0.086,0.034,,,0.5,,,,,,,,,,91.5,3,,0.3,25.9,,,13,3.4,5.8,,0.6,,8.4,0.0025,,,11.7,8.69,,,,,,,,,,,,,,0.38,,1.7,,4.8,0.1,,,,,,2.6,0.709,0.03,0.268,0.0133,,,,,,,,,,,,,,0.033,,,,,,,5.2,,18.6,,175,,119,,,1.05,,0.05,,5.5,18,38
Achara,13-Mar-10,,,,,,,,,,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.833,,,,,,,,,,,,,2.675,,,,,,,,,,,,,2.05208,0.09424,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76,,0.33,,,,39
Achara,13-Mar-15,,,,,,,,,,0.049,,,,,0,,,,,,,,,,2.2,,,36.4,,,18,,8.3,,,,,,,,11.1,1.5,,,,,,,,0,,,,,,,,,,4.7,,0,,,,,,0.93,0.012,,0.012,94,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,110.7,1.13,2.46,0.03,,8,,40
Achara,13-May-11,,,,,,,,,,0.108,,,,0,,,,,,,,,,,4.2,,0,35.1,,,8,2.6,,,0,,4.9,,,,7.4,5.92,,,,,,,,,,,,,,,,1.1,,5.8,,0,,,,,2.5,0.99,0.025,0,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,,0.276,,17,14,41
Achara,13-May-16,,,,,,,,,,0.16,,,,,0,,,,,,,,,,1.8,,,27,,,12,3.6,9.2,,,,,,,,8.7,1.9,,,,,,,,0,,,,,,,,,2.37,6.6,,0,,,,,,1.11,0.038,,0.03,92,,,0,,,,,,,,,,0,,,,,,,,,,,,,154,,94.6,1.67,,0.071,,18,,42
Achara,13-Nov-10,,,,,,,,,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.527,,,,,,,,,,,,,1.44188,0.0304,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,43
Achara,13-Oct-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44
Achara,13-Oct-11,,,,,,,,,,0.097,,,,1.8,,,,,,,,,,,1.7,,0,28.4,,,10,3.4,8.6,,0,,2.2,,,,9.1,10.2,,,,,,,,,,,,,,,,1.6,,4.8,,0,,,,,1.3,1.02,0.014,0,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47,,0.148,,13,15,45
Achara,14-Jul-11,,,,,,,,,,0,,,,1.2,,,,,,,,,,,4.2,,0,31.3,,,8,2.6,7.3,,0,,3.8,,,,9.8,0,,,,,,,,,,,,,,,,1,,3.5,,0,,,,,16.9,1.12,0.01,0,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.11,,23,6,46
Achara,14-Jun-13,,,,,,,,,,0.073,,,,0,0,,,,,,,,,,1,,0,39.4,,,0,1.8,11.2,,0,,1.4,,,,8.4,,,,,,,,,0,,,,,,,,0.5,,6.4,,0.02,,,,,0,1.02,0.051,,0.045,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,0.112,,21,5,47
Achara,14-Mar-13,,,,,,,,,,0.037,,,,0,0,,,,,,,,,,2.4,,0,48.4,,,0,3.2,12.9,,0,,1.1,,,,13.4,,,,,,,,,0,,,,,,,,0.5,,6.1,,0,,,,,0,1.07,0.02,,0.008,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,,0.037,,8,5,48
Achara,14-Oct-10,,,,,,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.806,,,,,,,,,,,,,3.548,,,,,,,,,,,,,3.50978,0.0152,2.12,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.67,,0.69,,,,49
Achara,14-Sep-11,,,,,,,,,,0,,,,1.2,,,,,,,,,,,2,,0,32.1,,,0,1.9,8.6,,0,,3.9,,,,8.5,,,,,,,,,,,,,,,,,0.4,,5.2,,0,,,,,1.3,1.03,0.011,0,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,0.124,,22,14,50
Achara,15-Dec-11,,,,,,,,,,0.053,,,,,,,,,,,,,,,2.2,,,,,,0,1.4,,,,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.015,0,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.07,,8,5,51
Achara,15-Feb-13,,,,,,,,,,0,,,,0,0,,,,,,,,,,2.2,,0,34.2,,,0,3,9.6,,0,,1.6,,,,13.3,,,,,,,,,0,,,,,,,,0.5,,6.5,,0,,,,,1.7,1,0.013,,0.007,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,0.042,,3,5,52
Achara,15-Feb-14,,,,,,,,,,0.216,,,,,0,,,,,,,,,,4,,,41,,,5,,13.4,,,,,,,,15.1,2,,,,,,,,0,,,,,,,,,,9.4,,0,,,,,,1.22,0.016,,0.018,106,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,,0.046,,1,,53
Achara,15-Jan-09,,,,,,,,,,0.552,0.034,,,0.5,,,,,,,,,,134.2,2.3,,0.3,47.4,,,7,3,11.9,,0.5,,2.4,0.0025,,,10.9,,,,,,,,,,,,,,,0.2,,0.5,,7.1,0.18,,,,,,1,1.377,0.003,0.305,0.1267,,,,,,,,,,,,,,0.05,,,,,,,10.9,,31.1,,16090,,206,,,1.99,,0.13,,6.5,26,54
Achara,15-Jan-16,,,,,,,,,,0.13,,,,,0,,,,,,,,,,2.4,,0,37.9,,,5,,11.8,,,,,,,,12.6,1.4,,,,,,,,0,,,,,,,,0,,3.9,,0,,,,,0,0.94,0.018,,0.016,99,,,0,,,,,,,,,,0,,,,,,,,,,,,,176,,110.6,1.24,,0.037,,5,,55
Achara,15-Mar-12,,,,,,,,,,0.912,,,,,,,,,,,,,,,3.6,,,,,,10,,,,,,,,,,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,0.017,0.14,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,,0.072,,4,,56
Achara,15-May-10,,,,,,,,,,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.084,,,,,,,,,,,,,0.967,,,,,,,,,,,,,0.8249,0.04864,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,,0.15,,,,57
Achara,15-May-15,,,,,,,,,,0.21,,,,,0,,,,,,,,,,2.2,,,41.9,,,17,2.5,12.4,,,,,,,,8.3,2,,,,,,,,0,,,,,,,,,,6.1,,0,,,,,,1.71,0.108,,0.017,85,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,129.8,2.07,2.39,0.022,,17,,58
Achara,15-Nov-13,,,,,,,,,,0.041,,,,0,,,,,,,,,,,2,,0,44.1,,,0,3.8,14.5,,0,,1.5,,,,11,,,,,,,,,0,,,,,,,,0.5,,9.8,,0.03,,,,,0,1.18,0.054,,0.018,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2.03,,0.094,,7,5,59
Achara,15-Oct-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60
Achara,16-Apr-10,,,,,,,,,,0.28,,,,0.5,,,,,,,,,,,1.8,,0.25,39.2,,,8,2.6,10.3,,0.4,,4.2,,,,10.2,8.111,,,,,,,,,,,,,2.01,,,0.5,,5.2,,1,,,,,2.4,1.65432,0.076,0.46,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47,,0.29,,11,14,61
Achara,16-Apr-11,,,,,,,,,,0,,,,1,,,,,,,,,,,5.8,,0.5,42.5,,,9,3,12.5,,0,,7.3,,,,9.2,6.46,,,,,,,,,,,,,,,,1.7,,9.8,,1,,,,,1.9,1.33,0.058,0,0.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,0.279,,15,12,62
Achara,16-Apr-16,,,,,,,,,,0.14,0,,,,0,,,,,,,,,109.8,2.8,,,31.5,,,5,,9.3,,,,,,,,9.9,2.3,,,,,,,,0,,,,,,,,0,,4.9,,0,,,,,0,0.87,0.028,,0.068,94,,,0,,,,,,,,,,0,,2.6,,,,,9,,21.8,,,,145,,98.8,1.14,,0.12,,13,,63
Achara,16-Aug-12,,,,,,,,,,0,,,,1.6,,,,,,,,,,,,,0.25,33.7,,,11,2.4,7.2,,0,,1.4,,,,8.2,,,,,,,,,0,,,,,,,,0.5,,8.3,,0,,,,,0,0.9,0.02,0.17,0.057,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,,,1.11,,0.07,,24.2,5,64
Achara,16-Aug-13,,,,,,,,,,0.033,,,,2.1,0,,,,,,,,,,1.7,,0,32.1,,,0,2,6.1,,0,,1,,,,8,,,,,,,,,0,,,,,,,,1.1,,8.3,,,,,,,0,0.45,0.008,,0.018,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,0.028,,23,5,65
Achara,16-Aug-14,,,,,,,,,,0,,,,,0,,,,,,,,,128.1,2.5,,,39.9,,,15,,13.4,,,,,,,,9.6,1.6,,,,,,,,0,,,,,,,,,,6.5,0,0,,,,,,1.38,0.023,,0.024,105,,,0,,,,,,,,,,,,3.4,,,,,12,,28.9,,,,191,,126.5,1.56,3.37,0.036,,20,,66
Achara,16-Jan-10,,,,,,,,,,0.451,,,,0.5,,,,,,,,,,,2,,0.4,31.5,,,7,4.5,8.1,,0.5,,2.7,,,,12.5,7.464,,,,,,,,,,,,,1.457,,,0.6,,11.9,,1,,,,,3.1,0.98762,0.01824,0.36,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,0.24,,4,,67
Achara,16-Jan-14,,,,,,,,,,0.43,,,,,0,,,,,,,,,170.8,2.3,,,47.3,,,5,3.1,15.2,,,,,,,,12,2.8,,,,,,,,0,,,,,,,,,,8.5,0.05,0,,,,,,0.98,0.032,,0.02,87,,,0,,,,,,,,,,,,4,,,,,16.5,,39.9,,,,224,,152.7,2,2.25,0.108,,2,,68
Achara,16-Jul-10,,,,,,,,,,0.085,,,,1.7,,,,,,,,,,,2,,0.25,33.6,,,6,4,9.5,,0.3,,3.7,,,,7.5,9.759,,,,,,,,,,,,,2.013,,,0.5,,4.5,,1,,,,,1,1.76958,0.15808,0.7,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,0.45,,22,12,69
Achara,16-Jul-15,,,,,,,,,,0.063,,,,,0,,,,,,,,,,1.6,,,33.2,,,17,2.7,7.2,,,,,,,,7.4,1.3,,,,,,,,0,,,,,,,,,,2.7,,0,,,,,,0.89,0.013,,0.023,85,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,93.9,0.99,2.4,0.031,,22,,70
Achara,16-Jul-16,,,,,,,,,,0.04,,,,,0,,,,,,,,,,1.2,,,33.2,,,19,3.1,9.1,,,,,,,,8.2,3.3,,,,,,,,0,,,,,,,,,,5.9,,0,,,,,,0.79,0.021,,0.044,96,,,0,,,,,,,,,,0,,,,,,,,,,,,,164,,107.3,0.95,,0.061,,26,,71
Achara,16-Jun-12,,,,,,,,,,0.288,,,,0,,,,,,,,,,,3.4,,0.25,33.9,,,11,3.4,9.4,,1.9,,6.7,,,,7.2,,,,,,,,,,,,,,,,,1.6,,7.5,,,,,,,1.7,0.94,0.06,0,0.145,,,,,,,,,,,,,,,,,,,10.2,,,,,,,,,,,1.31,,0.293,,25,12,72
Achara,16-May-13,,,,,,,,,,0.045,,,,0,0,,,,,,,,,,2.3,,0,35.3,,,14,3.2,9,,0,,1.6,,,,8.2,,,,,,,,,0,,,,,,,,0.5,,6.8,,0.015,,,,,0,0.72,0.019,,0.012,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,0.06,,12,5,73
