location,measure_date,measure,unit,value
Kohsoom,21-Sep-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,22-Oct-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,29-Oct-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,7-Nov-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Kohsoom,26-Nov-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,13-Dec-09,"1,2,3-Trichlorobenzene",µg/l,0.001
Boonsri,24-Jan-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,21-Feb-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,23-Feb-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,21-Mar-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,23-Mar-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,26-May-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,20-Jun-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,29-Jun-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,11-Jul-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,25-Jul-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,27-Jul-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,22-Aug-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,26-Sep-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,28-Sep-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,24-Oct-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,26-Oct-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,27-Nov-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,28-Nov-08,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,29-Jan-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,27-Feb-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,19-Mar-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,19-Mar-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,23-Apr-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,21-May-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,28-May-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,25-Jun-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,25-Jun-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,23-Jul-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,30-Jul-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,20-Aug-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,21-Aug-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,9-Sep-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,21-Sep-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,22-Oct-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,29-Oct-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,7-Nov-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Kohsoom,26-Nov-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Boonsri,13-Dec-09,"1,2,4-Trichlorobenzene",µg/l,0.001
Chai,04-Jan-14,AGOC-3A,µg/l,0.305
Kannika,10-Jan-14,AGOC-3A,µg/l,0.325
Sakda,12-Jan-14,AGOC-3A,µg/l,0.310666666666667
Chai,18-Jan-14,AGOC-3A,µg/l,0.273666666666667
Kohsoom,26-Jan-14,AGOC-3A,µg/l,0.293
Somchair,03-Feb-14,AGOC-3A,µg/l,0.265
Busarakhan,03-Feb-14,AGOC-3A,µg/l,0.282
Chai,15-Feb-14,AGOC-3A,µg/l,0.276
Boonsri,21-Feb-14,AGOC-3A,µg/l,0.295666666666667
Kohsoom,23-Feb-14,AGOC-3A,µg/l,0.285
Chai,24-Feb-14,AGOC-3A,µg/l,0.284666666666667
Kannika,02-Mar-14,AGOC-3A,µg/l,0.283
Sakda,14-Mar-14,AGOC-3A,µg/l,0.327
Chai,17-Mar-14,AGOC-3A,µg/l,0.291
Boonsri,21-Mar-14,AGOC-3A,µg/l,0.267
Kohsoom,23-Mar-14,AGOC-3A,µg/l,0.279
Chai,29-Mar-14,AGOC-3A,µg/l,0.318
Sakda,11-Apr-14,AGOC-3A,µg/l,0.319666666666667
Kannika,14-Apr-14,AGOC-3A,µg/l,0.298333333333333
Chai,28-Apr-14,AGOC-3A,µg/l,0.295
Somchair,03-May-14,AGOC-3A,µg/l,0.347
Busarakhan,03-May-14,AGOC-3A,µg/l,0.315
Kannika,09-May-14,AGOC-3A,µg/l,0.301
Sakda,09-May-14,AGOC-3A,µg/l,0.264666666666667
Boonsri,16-May-14,AGOC-3A,µg/l,0.284333333333333
Kohsoom,26-May-14,AGOC-3A,µg/l,0.291
Somchair,30-May-14,AGOC-3A,µg/l,0.275
Busarakhan,30-May-14,AGOC-3A,µg/l,0.296
Chai,31-May-14,AGOC-3A,µg/l,2.32333333333333
Chai,12-Jun-14,AGOC-3A,µg/l,0.328333333333333
Sakda,13-Jun-14,AGOC-3A,µg/l,0.359666666666667
Kannika,15-Jun-14,AGOC-3A,µg/l,0.266
Boonsri,20-Jun-14,AGOC-3A,µg/l,0.291
Somchair,26-Jun-14,AGOC-3A,µg/l,0.292
Busarakhan,26-Jun-14,AGOC-3A,µg/l,0.271
Chai,07-Jul-14,AGOC-3A,µg/l,0.302
Sakda,11-Jul-14,AGOC-3A,µg/l,0.290333333333333
Somchair,12-Jul-14,AGOC-3A,µg/l,0.278
Busarakhan,12-Jul-14,AGOC-3A,µg/l,0.341
Kannika,12-Jul-14,AGOC-3A,µg/l,0.315666666666667
Boonsri,25-Jul-14,AGOC-3A,µg/l,0.270666666666667
Kohsoom,27-Jul-14,AGOC-3A,µg/l,0.26
Kannika,08-Aug-14,AGOC-3A,µg/l,0.537666666666667
Sakda,08-Aug-14,AGOC-3A,µg/l,0.292666666666667
Somchair,11-Aug-14,AGOC-3A,µg/l,0.296
Busarakhan,11-Aug-14,AGOC-3A,µg/l,0.346
Boonsri,22-Aug-14,AGOC-3A,µg/l,0.312666666666667
Chai,23-Aug-14,AGOC-3A,µg/l,0.380333333333333
Kohsoom,31-Aug-14,AGOC-3A,µg/l,0.955
Sakda,06-Sep-14,AGOC-3A,µg/l,0.300333333333333
Kannika,07-Sep-14,AGOC-3A,µg/l,0.689666666666667
Chai,11-Sep-14,AGOC-3A,µg/l,0.535666666666667
Somchair,21-Sep-14,AGOC-3A,µg/l,0.274
Busarakhan,21-Sep-14,AGOC-3A,µg/l,0.258
Boonsri,26-Sep-14,AGOC-3A,µg/l,0.321
Kohsoom,28-Sep-14,AGOC-3A,µg/l,0.343
Kannika,12-Oct-14,AGOC-3A,µg/l,1.81766666666667
Sakda,12-Oct-14,AGOC-3A,µg/l,1.124
Chai,17-Oct-14,AGOC-3A,µg/l,0.292333333333333
Somchair,19-Oct-14,AGOC-3A,µg/l,0.299
Busarakhan,19-Oct-14,AGOC-3A,µg/l,0.28
Boonsri,24-Oct-14,AGOC-3A,µg/l,0.274
Kohsoom,26-Oct-14,AGOC-3A,µg/l,0.348
Kannika,07-Nov-14,AGOC-3A,µg/l,0.567666666666667
Sakda,07-Nov-14,AGOC-3A,µg/l,1.187
Chai,15-Nov-14,AGOC-3A,µg/l,1.18966666666667
Somchair,17-Nov-14,AGOC-3A,µg/l,0.312
Busarakhan,17-Nov-14,AGOC-3A,µg/l,0.252
Kohsoom,27-Nov-14,AGOC-3A,µg/l,0.349
Boonsri,28-Nov-14,AGOC-3A,µg/l,0.566
Boonsri,12-Dec-14,AGOC-3A,µg/l,0.326333333333333
Chai,12-Dec-14,AGOC-3A,µg/l,0.330666666666667
Kannika,12-Dec-14,AGOC-3A,µg/l,0.320666666666667
Sakda,12-Dec-14,AGOC-3A,µg/l,0.298
Somchair,15-Dec-14,AGOC-3A,µg/l,0.313
Busarakhan,15-Dec-14,AGOC-3A,µg/l,0.346
Kohsoom,19-Dec-14,AGOC-3A,µg/l,0.341
Kannika,09-Jan-15,AGOC-3A,µg/l,0.304333333333333
Sakda,09-Jan-15,AGOC-3A,µg/l,0.311
Boonsri,11-Jan-15,AGOC-3A,µg/l,11.114
Chai,11-Jan-15,AGOC-3A,µg/l,1.372
Somchair,24-Jan-15,AGOC-3A,µg/l,0.26
Busarakhan,24-Jan-15,AGOC-3A,µg/l,0.302
Boonsri,29-Jan-15,AGOC-3A,µg/l,226.904
Kohsoom,29-Jan-15,AGOC-3A,µg/l,0.271
Chai,08-Feb-15,AGOC-3A,µg/l,0.311
Kannika,13-Feb-15,AGOC-3A,µg/l,0.280666666666667
Sakda,13-Feb-15,AGOC-3A,µg/l,0.309
Somchair,14-Feb-15,AGOC-3A,µg/l,0.331
Busarakhan,14-Feb-15,AGOC-3A,µg/l,0.776
Kohsoom,26-Feb-15,AGOC-3A,µg/l,2.401
Boonsri,27-Feb-15,AGOC-3A,µg/l,30.1493333333333
Kannika,13-Mar-15,AGOC-3A,µg/l,0.294666666666667
Sakda,13-Mar-15,AGOC-3A,µg/l,0.314666666666667
Boonsri,19-Mar-15,AGOC-3A,µg/l,0.315333333333333
Chai,20-Mar-15,AGOC-3A,µg/l,0.315666666666667
Somchair,27-Mar-15,AGOC-3A,µg/l,0.279
Busarakhan,27-Mar-15,AGOC-3A,µg/l,0.303
Kohsoom,29-Mar-15,AGOC-3A,µg/l,0.27
Kannika,17-Apr-15,AGOC-3A,µg/l,0.3
Sakda,17-Apr-15,AGOC-3A,µg/l,0.311
Chai,18-Apr-15,AGOC-3A,µg/l,0.301
Boonsri,23-Apr-15,AGOC-3A,µg/l,0.321666666666667
Kohsoom,24-Apr-15,AGOC-3A,µg/l,0.338
Somchair,25-Apr-15,AGOC-3A,µg/l,0.274
Busarakhan,25-Apr-15,AGOC-3A,µg/l,0.296
Kannika,08-May-15,AGOC-3A,µg/l,0.816666666666667
Sakda,08-May-15,AGOC-3A,µg/l,0.338
Boonsri,21-May-15,AGOC-3A,µg/l,0.314666666666667
Chai,21-May-15,AGOC-3A,µg/l,0.414666666666667
Somchair,25-May-15,AGOC-3A,µg/l,0.324
Busarakhan,25-May-15,AGOC-3A,µg/l,0.319
Kohsoom,28-May-15,AGOC-3A,µg/l,0.302
Kannika,12-Jun-15,AGOC-3A,µg/l,0.310666666666667
Sakda,12-Jun-15,AGOC-3A,µg/l,0.275666666666667
Chai,14-Jun-15,AGOC-3A,µg/l,0.284333333333333
Boonsri,25-Jun-15,AGOC-3A,µg/l,0.299333333333333
Kohsoom,25-Jun-15,AGOC-3A,µg/l,0.3
Somchair,28-Jun-15,AGOC-3A,µg/l,0.273
Busarakhan,28-Jun-15,AGOC-3A,µg/l,0.265
Chai,09-Jul-15,AGOC-3A,µg/l,0.62
Kannika,11-Jul-15,AGOC-3A,µg/l,0.291
Sakda,11-Jul-15,AGOC-3A,µg/l,0.289
Boonsri,23-Jul-15,AGOC-3A,µg/l,0.277666666666667
Kohsoom,30-Jul-15,AGOC-3A,µg/l,0.317
Kannika,08-Aug-15,AGOC-3A,µg/l,0.296333333333333
Sakda,08-Aug-15,AGOC-3A,µg/l,0.287333333333333
Kohsoom,20-Aug-15,AGOC-3A,µg/l,0.265
Boonsri,21-Aug-15,AGOC-3A,µg/l,3.75166666666667
Chai,23-Aug-15,AGOC-3A,µg/l,3.43433333333333
Somchair,28-Aug-15,AGOC-3A,µg/l,0.338
Busarakhan,28-Aug-15,AGOC-3A,µg/l,0.463
Sakda,07-Sep-15,AGOC-3A,µg/l,2.19466666666667
Boonsri,09-Sep-15,AGOC-3A,µg/l,0.31
Kannika,09-Sep-15,AGOC-3A,µg/l,0.294
Kohsoom,21-Sep-15,AGOC-3A,µg/l,0.346
Somchair,24-Sep-15,AGOC-3A,µg/l,1.338
Busarakhan,24-Sep-15,AGOC-3A,µg/l,0.302
Chai,19-Oct-15,AGOC-3A,µg/l,5.76233333333333
Boonsri,22-Oct-15,AGOC-3A,µg/l,0.297
Kohsoom,29-Oct-15,AGOC-3A,µg/l,0.251
Somchair,30-Oct-15,AGOC-3A,µg/l,0.298
Busarakhan,30-Oct-15,AGOC-3A,µg/l,0.268
Boonsri,07-Nov-15,AGOC-3A,µg/l,0.598
Kohsoom,26-Nov-15,AGOC-3A,µg/l,1.152
Boonsri,13-Dec-15,AGOC-3A,µg/l,0.306666666666667
Kannika,10-Jan-16,AGOC-3A,µg/l,0.022
Sakda,10-Jan-16,AGOC-3A,µg/l,0.0336666666666667
Chai,17-Jan-16,AGOC-3A,µg/l,0.016
Somchair,24-Jan-16,AGOC-3A,µg/l,0.268
Busarakhan,24-Jan-16,AGOC-3A,µg/l,0.023
Boonsri,28-Jan-16,AGOC-3A,µg/l,0.041
Kohsoom,28-Jan-16,AGOC-3A,µg/l,0.391
Kannika,07-Feb-16,AGOC-3A,µg/l,0.04
Sakda,07-Feb-16,AGOC-3A,µg/l,0.0403333333333333
Somchair,14-Feb-16,AGOC-3A,µg/l,0.05
Busarakhan,14-Feb-16,AGOC-3A,µg/l,0.048
Boonsri,18-Feb-16,AGOC-3A,µg/l,0.035
Kohsoom,18-Feb-16,AGOC-3A,µg/l,0.07
Chai,20-Feb-16,AGOC-3A,µg/l,0.0346666666666667
Kannika,12-Mar-16,AGOC-3A,µg/l,0.0263333333333333
Sakda,12-Mar-16,AGOC-3A,µg/l,0.0343333333333333
Chai,18-Mar-16,AGOC-3A,µg/l,0.0423333333333333
Somchair,20-Mar-16,AGOC-3A,µg/l,0.077
Busarakhan,20-Mar-16,AGOC-3A,µg/l,0.067
Kohsoom,24-Mar-16,AGOC-3A,µg/l,0.008
Boonsri,25-Mar-16,AGOC-3A,µg/l,0.021
Kannika,08-Apr-16,AGOC-3A,µg/l,0.038
Sakda,08-Apr-16,AGOC-3A,µg/l,0.0583333333333333
Chai,16-Apr-16,AGOC-3A,µg/l,0.585666666666667
Somchair,18-Apr-16,AGOC-3A,µg/l,0.785
Busarakhan,18-Apr-16,AGOC-3A,µg/l,2.723
Kohsoom,21-Apr-16,AGOC-3A,µg/l,0.007
Boonsri,22-Apr-16,AGOC-3A,µg/l,0.0476666666666667
Chai,09-May-16,AGOC-3A,µg/l,0.541
Kannika,14-May-16,AGOC-3A,µg/l,0.0346666666666667
Sakda,14-May-16,AGOC-3A,µg/l,0.02
Somchair,22-May-16,AGOC-3A,µg/l,0.003
Busarakhan,22-May-16,AGOC-3A,µg/l,0.069
Somchair,13-Jun-16,AGOC-3A,µg/l,5.396
Busarakhan,13-Jun-16,AGOC-3A,µg/l,5.813
Chai,17-Jun-16,AGOC-3A,µg/l,0.184666666666667
Kannika,19-Jun-16,AGOC-3A,µg/l,0.025
Sakda,19-Jun-16,AGOC-3A,µg/l,0.054
Boonsri,23-Jun-16,AGOC-3A,µg/l,0.238666666666667
Kohsoom,23-Jun-16,AGOC-3A,µg/l,0.02
Chai,15-Jul-16,AGOC-3A,µg/l,0.0396666666666667
Kannika,18-Jul-16,AGOC-3A,µg/l,2.386
Sakda,18-Jul-16,AGOC-3A,µg/l,1.585
Somchair,22-Jul-16,AGOC-3A,µg/l,0.015
Busarakhan,22-Jul-16,AGOC-3A,µg/l,0.053
Boonsri,24-Jul-16,AGOC-3A,µg/l,0.0313333333333333
Kohsoom,28-Jul-16,AGOC-3A,µg/l,0.001
Chai,11-Aug-16,AGOC-3A,µg/l,0.113
Kannika,14-Aug-16,AGOC-3A,µg/l,0.0406666666666667
Sakda,14-Aug-16,AGOC-3A,µg/l,0.0466666666666667
Boonsri,18-Aug-16,AGOC-3A,µg/l,0.0253333333333333
Kohsoom,26-Aug-16,AGOC-3A,µg/l,0.035
Somchair,28-Aug-16,AGOC-3A,µg/l,0.154
Busarakhan,28-Aug-16,AGOC-3A,µg/l,0.118
Kannika,02-Sep-16,AGOC-3A,µg/l,0.049
Sakda,02-Sep-16,AGOC-3A,µg/l,0.0443333333333333
Chai,04-Sep-16,AGOC-3A,µg/l,0.228
Boonsri,25-Sep-16,AGOC-3A,µg/l,0.114
Kohsoom,29-Sep-16,AGOC-3A,µg/l,0.002
Somchair,30-Sep-16,AGOC-3A,µg/l,0.068
Busarakhan,30-Sep-16,AGOC-3A,µg/l,0.018
Chai,13-Oct-16,AGOC-3A,µg/l,0.771
Kannika,15-Oct-16,AGOC-3A,µg/l,0.0526666666666667
Sakda,15-Oct-16,AGOC-3A,µg/l,0.0956666666666667
Kohsoom,20-Oct-16,AGOC-3A,µg/l,0.074
Boonsri,21-Oct-16,AGOC-3A,µg/l,0.0613333333333333
Somchair,29-Oct-16,AGOC-3A,µg/l,0.016
Busarakhan,29-Oct-16,AGOC-3A,µg/l,0.006
Kannika,09-Nov-16,AGOC-3A,µg/l,0.0283333333333333
Sakda,10-Nov-16,AGOC-3A,µg/l,0.0196666666666667
Chai,13-Nov-16,AGOC-3A,µg/l,0.0686666666666667
Boonsri,18-Nov-16,AGOC-3A,µg/l,0.0276666666666667
Kohsoom,24-Nov-16,AGOC-3A,µg/l,0.097
Somchair,27-Nov-16,AGOC-3A,µg/l,0.063
Busarakhan,27-Nov-16,AGOC-3A,µg/l,0.006
Somchair,09-Dec-16,AGOC-3A,µg/l,0.066
Busarakhan,09-Dec-16,AGOC-3A,µg/l,0.061
Kohsoom,15-Dec-16,AGOC-3A,µg/l,0.044
Boonsri,11-Jan-98,AOX,µg/l,0
Kannika,26-Jan-98,AOX,µg/l,0
Chai,31-Jan-98,AOX,µg/l,0
Boonsri,15-Feb-98,AOX,µg/l,0
Chai,20-Feb-98,AOX,µg/l,0
Kannika,24-Feb-98,AOX,µg/l,0
Boonsri,12-Mar-98,AOX,µg/l,0
Chai,19-Mar-98,AOX,µg/l,0
Kannika,21-Mar-98,AOX,µg/l,0
Boonsri,11-Apr-98,AOX,µg/l,0
Kohsoom,16-Apr-98,AOX,µg/l,0
Chai,17-Apr-98,AOX,µg/l,0
Somchair,17-Apr-98,AOX,µg/l,0
Kannika,18-Apr-98,AOX,µg/l,0
Sakda,18-Apr-98,AOX,µg/l,0
Boonsri,9-May-98,AOX,µg/l,0
Chai,20-May-98,AOX,µg/l,0
Kannika,26-May-98,AOX,µg/l,0
Boonsri,6-Jun-98,AOX,µg/l,0
Kohsoom,27-Jun-98,AOX,µg/l,0
Chai,28-Jun-98,AOX,µg/l,0
Somchair,29-Jun-98,AOX,µg/l,0
Kannika,29-Jun-98,AOX,µg/l,0
Sakda,30-Jun-98,AOX,µg/l,0
Boonsri,11-Jul-98,AOX,µg/l,0
Chai,23-Jul-98,AOX,µg/l,0
Kannika,26-Jul-98,AOX,µg/l,0
Boonsri,8-Aug-98,AOX,µg/l,0
Kohsoom,22-Aug-98,AOX,µg/l,0
Chai,23-Aug-98,AOX,µg/l,0
Somchair,24-Aug-98,AOX,µg/l,0
Kannika,25-Aug-98,AOX,µg/l,0
Sakda,26-Aug-98,AOX,µg/l,0
Boonsri,5-Sep-98,AOX,µg/l,0
Kannika,20-Sep-98,AOX,µg/l,0
Chai,27-Sep-98,AOX,µg/l,0
Kohsoom,1-Oct-98,AOX,µg/l,0
Boonsri,3-Oct-98,AOX,µg/l,0
Kannika,23-Oct-98,AOX,µg/l,0
Sakda,24-Oct-98,AOX,µg/l,0
Busarakhan,29-Oct-98,AOX,µg/l,0
Chai,30-Oct-98,AOX,µg/l,0
Somchair,30-Oct-98,AOX,µg/l,0
Boonsri,7-Nov-98,AOX,µg/l,0
Kohsoom,14-Nov-98,AOX,µg/l,0
Kannika,20-Nov-98,AOX,µg/l,0
Sakda,20-Nov-98,AOX,µg/l,0
Chai,26-Nov-98,AOX,µg/l,0
Somchair,28-Nov-98,AOX,µg/l,0
Busarakhan,28-Nov-98,AOX,µg/l,0
Boonsri,5-Dec-98,AOX,µg/l,0
Sakda,10-Dec-98,AOX,µg/l,0
Kohsoom,13-Dec-98,AOX,µg/l,0
Kannika,17-Dec-98,AOX,µg/l,0
Chai,18-Dec-98,AOX,µg/l,0
Somchair,19-Dec-98,AOX,µg/l,0
Busarakhan,19-Dec-98,AOX,µg/l,0
Kannika,10-Jan-08,AOX,µg/l,16.1333333333333
Sakda,12-Jan-08,AOX,µg/l,19.4333333333333
Chai,18-Jan-08,AOX,µg/l,13.3333333333333
Somchair,3-Feb-08,AOX,µg/l,34.8
Busarakhan,3-Feb-08,AOX,µg/l,29.5
Chai,15-Feb-08,AOX,µg/l,19.8666666666667
Sakda,23-Feb-08,AOX,µg/l,16.0333333333333
Kannika,2-Mar-08,AOX,µg/l,20.3
Sakda,14-Mar-08,AOX,µg/l,20.8666666666667
Chai,17-Mar-08,AOX,µg/l,12.2333333333333
Somchair,30-Mar-08,AOX,µg/l,44.2
Busarakhan,30-Mar-08,AOX,µg/l,27.1
Kannika,9-May-08,AOX,µg/l,18.7666666666667
Sakda,9-May-08,AOX,µg/l,17.4
Somchair,30-May-08,AOX,µg/l,34.4
Busarakhan,30-May-08,AOX,µg/l,21.6
Kannika,12-Oct-08,AOX,µg/l,18.3
Sakda,12-Oct-08,AOX,µg/l,23.7333333333333
Chai,17-Oct-08,AOX,µg/l,12.0666666666667
Somchair,19-Oct-08,AOX,µg/l,29.4
Busarakhan,19-Oct-08,AOX,µg/l,22.5
Kannika,7-Nov-08,AOX,µg/l,19.1666666666667
Sakda,7-Nov-08,AOX,µg/l,23.8666666666667
Chai,15-Nov-08,AOX,µg/l,13.4
Somchair,17-Nov-08,AOX,µg/l,31.7
Busarakhan,17-Nov-08,AOX,µg/l,21.7
Somchair,5-Dec-08,AOX,µg/l,29.2
Busarakhan,5-Dec-08,AOX,µg/l,23.4
Chai,12-Dec-08,AOX,µg/l,10.2333333333333
Kannika,12-Dec-08,AOX,µg/l,18.1666666666667
Sakda,12-Dec-08,AOX,µg/l,20.3
Somchair,15-Dec-08,AOX,µg/l,31
Busarakhan,15-Dec-08,AOX,µg/l,21.5
Kannika,9-Jan-09,AOX,µg/l,0
Sakda,9-Jan-09,AOX,µg/l,0
Boonsri,11-Jan-09,AOX,µg/l,0
Chai,11-Jan-09,AOX,µg/l,0
Somchair,24-Jan-09,AOX,µg/l,0
Busarakhan,24-Jan-09,AOX,µg/l,0
Kohsoom,29-Jan-09,AOX,µg/l,0
Chai,8-Feb-09,AOX,µg/l,0
Kannika,13-Feb-09,AOX,µg/l,0
Sakda,13-Feb-09,AOX,µg/l,0
Somchair,14-Feb-09,AOX,µg/l,0
Busarakhan,14-Feb-09,AOX,µg/l,0
Kohsoom,26-Feb-09,AOX,µg/l,0
Boonsri,27-Feb-09,AOX,µg/l,0
Kannika,13-Mar-09,AOX,µg/l,0
Sakda,13-Mar-09,AOX,µg/l,0
Boonsri,19-Mar-09,AOX,µg/l,0
Chai,20-Mar-09,AOX,µg/l,0
Somchair,27-Mar-09,AOX,µg/l,0
Busarakhan,27-Mar-09,AOX,µg/l,0
Kohsoom,29-Mar-09,AOX,µg/l,0
Kannika,17-Apr-09,AOX,µg/l,0
Sakda,17-Apr-09,AOX,µg/l,0
Chai,18-Apr-09,AOX,µg/l,0
Boonsri,23-Apr-09,AOX,µg/l,0
Kohsoom,24-Apr-09,AOX,µg/l,0
Somchair,25-Apr-09,AOX,µg/l,0
Busarakhan,25-Apr-09,AOX,µg/l,0
Kannika,8-May-09,AOX,µg/l,0
Sakda,8-May-09,AOX,µg/l,0
Boonsri,21-May-09,AOX,µg/l,0
Chai,21-May-09,AOX,µg/l,0
Somchair,25-May-09,AOX,µg/l,0
Busarakhan,25-May-09,AOX,µg/l,0
Kohsoom,28-May-09,AOX,µg/l,0
Kannika,12-Jun-09,AOX,µg/l,0
Sakda,12-Jun-09,AOX,µg/l,0
Chai,14-Jun-09,AOX,µg/l,0
Boonsri,25-Jun-09,AOX,µg/l,0
Kohsoom,25-Jun-09,AOX,µg/l,0
Somchair,28-Jun-09,AOX,µg/l,0
Busarakhan,28-Jun-09,AOX,µg/l,0
Chai,9-Jul-09,AOX,µg/l,0
Kannika,11-Jul-09,AOX,µg/l,0
Sakda,11-Jul-09,AOX,µg/l,0
Boonsri,23-Jul-09,AOX,µg/l,0
Somchair,26-Jul-09,AOX,µg/l,0
Busarakhan,26-Jul-09,AOX,µg/l,0
Kohsoom,30-Jul-09,AOX,µg/l,0
Kannika,8-Aug-09,AOX,µg/l,0
Sakda,8-Aug-09,AOX,µg/l,0
Kohsoom,20-Aug-09,AOX,µg/l,0
Boonsri,21-Aug-09,AOX,µg/l,0
Chai,23-Aug-09,AOX,µg/l,0
Somchair,28-Aug-09,AOX,µg/l,0
Busarakhan,28-Aug-09,AOX,µg/l,0
Sakda,7-Sep-09,AOX,µg/l,0
Kannika,9-Sep-09,AOX,µg/l,0
Chai,22-Sep-09,AOX,µg/l,0
Somchair,24-Sep-09,AOX,µg/l,0
Kannika,27-Sep-09,AOX,µg/l,0
